,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
etranger_,0.00871463092359,0.015133532543,0.0148873611287,0.0123866578124,0.0182553318092,0.0126021439608,0.013382333873,0.0137251650896,0.0139406977309,0.0107946926851,0.0151422519763,0.0166966841293,0.0187976524528,0.0148217467302,0.0127920913941,0.0165175015367,0.0116892208162,0.0136571091881,0.0130106802056,0.0138115938615,0.0213318331998,0.0123858606364,0.00770687409061,0.0145675673822,0.0155264422702,0.0109768844142,0.0111888293994,0.0149902258948,0.00934833868884,0.0175959368246,0.0140965986948,0.0118521308437,0.00824662629631,0.00828268791377,0.0144056428335,0.00874249136263,0.0176737638085,0.0114558645584,0.0110992112102,0.0159475248722,0.0111988762422,0.0134532515137,0.012116595631,0.0135599436648,0.0109047217366,0.0169760246428,0.0218945660628,0.014323346953,0.0114329855047,0.011378929977,0.017744086632,0.00729627965454,0.0129547217484,0.0138464886438,0.0121800489814,0.0182260921513,0.0128597933858,0.0165154573013,0.0130451568977,0.0132432124239,0.00864798232493,0.00783187090656,0.0158383820976,0.0144103047497,0.0158943161453,0.0149038937445,0.00807632634365,0.015112558412,0.010787872257,0.0144782356851,0.0117836453731,0.012150963042,0.0143294637302,0.00774397179871,0.0106309644425,0.0133727517264,0.0188674498485,0.0126060579827,0.0167476255731,0.00934223169994,0.0110687979558,0.0110066544078,0.00903682491015,0.0179989052028,0.00786178099272,0.0122056478102,0.0208881262624,0.0188475460977,0.0109942144974,0.0149370988621,0.0120099428549,0.0152144455384,0.0130063369467,0.0125218708711,0.0176693154071,0.0124990237493,0.0148852982698,0.0114579993236,0.0132472372815,0.0151028467811,0.0118342374363
age15_,0.0159200750527,0.0162935862879,0.0176404921698,0.0161990387506,0.015609046307,0.0178714648016,0.0184016705755,0.00843780584468,0.0174148367478,0.0179037689757,0.0100512174041,0.0152426190211,0.0163350377862,0.0161651094518,0.0165051665713,0.0149934770522,0.0152705468064,0.0164359983482,0.010663267726,0.0141047391043,0.0161279057836,0.0132417140907,0.0162894636079,0.0151983796188,0.0166433219755,0.0149871076318,0.0187151633671,0.0140218441334,0.014847993579,0.0140343063164,0.00889572370153,0.0114323890508,0.0164231210826,0.0168861953926,0.0182976827464,0.0122853656216,0.0135486073489,0.0146240087612,0.0169686501323,0.0145365638526,0.00821958531836,0.0162334189759,0.0104869029544,0.0163122679257,0.0166012593504,0.0157344709402,0.0162605824082,0.013258769148,0.0156907099407,0.0140862445912,0.015121919806,0.0108365799834,0.0170044336382,0.0168628993084,0.0133943179539,0.00956257723483,0.0157938069001,0.011515106244,0.01516351713,0.0118477956938,0.0091773982121,0.0164308494874,0.0113898954633,0.0164848834663,0.0155807735599,0.0180926139997,0.0149971905154,0.0166088915263,0.0163245387808,0.0163619046638,0.0161710584689,0.0161138671735,0.0118916948607,0.0146066370573,0.0183969568782,0.0111201511383,0.0168434291643,0.0133285110096,0.0126873080871,0.0186346184565,0.0115590396172,0.0128105388907,0.00933812099667,0.0112267621481,0.00958697390722,0.0116959163242,0.0148396618074,0.0103521979531,0.0152404775685,0.0137443440643,0.00973813964735,0.016105702018,0.0176370182896,0.0177248973259,0.0110851124881,0.0157241570639,0.0160575085637,0.0159590090052,0.0144634151744,0.0113808647023,0.00985424406282
age30_,-0.0130961708879,-0.0115654822703,-0.0109224992959,-0.013923885586,-0.013463692338,-0.0137986786464,-0.0120657126733,-0.0131315926084,-0.0114328332459,-0.0152268039578,-0.0128110627708,-0.0135583790259,-0.0125512110494,-0.0102217966925,-0.0131213489121,-0.01254345339,-0.0131243607946,-0.0120189318316,-0.0182691763158,-0.0137213569888,-0.0124654317322,-0.0122544986714,-0.0140513188076,-0.0165458109548,-0.0137122967798,-0.0161792347557,-0.0135979955615,-0.0136527440198,-0.0138134182643,-0.012018934066,-0.0119797826329,-0.0117153090033,-0.0163007003716,-0.0121547834472,-0.0123441071463,-0.0132633330188,-0.0154106555585,-0.0149084292637,-0.0165427811595,-0.0128884385622,-0.0141508289938,-0.0135898184251,-0.0144235174648,-0.0165628613911,-0.0151660455796,-0.0149265641973,-0.00835025667643,-0.0128259599211,-0.0120268800629,-0.0105838784454,-0.014460277205,-0.0142129528957,-0.0125960249085,-0.0117594170889,-0.0112633651418,-0.0129449717983,-0.0110596037947,-0.0137095410672,-0.0133442737083,-0.013105383757,-0.0151747887324,-0.011167975883,-0.014748264677,-0.0142612034513,-0.0169516269212,-0.0146298079258,-0.0132249881673,-0.0100520872539,-0.012011515275,-0.0143676642873,-0.0121781347479,-0.0157927934628,-0.0123559110208,-0.0129841901236,-0.0105756921216,-0.0117019031418,-0.0101160634011,-0.010555921447,-0.0140856038161,-0.0175184671857,-0.0168241328671,-0.00949489772184,-0.0138316503296,-0.010545640613,-0.0139503748674,-0.0164939633153,-0.0136936788539,-0.0121394487272,-0.0137556203222,-0.0154700885569,-0.0129299211815,-0.0146175215351,-0.0131465549807,-0.0138633378886,-0.0124265122782,-0.0166158428435,-0.0101492642528,-0.0118948252613,-0.0131594939096,-0.0128503315351,-0.0117188834145
age40_,-0.0203459332827,-0.0200003073478,-0.0215632292907,-0.0208205463612,-0.0202340501687,-0.0203949755567,-0.020133695065,-0.0201852305672,-0.0198854869332,-0.0202912632721,-0.0203259060944,-0.021083128316,-0.0198898369441,-0.0197925407371,-0.0212169412373,-0.0201956522732,-0.0200031687259,-0.0210712166178,-0.0188649717047,-0.0204626959388,-0.0201579543529,-0.0207891878436,-0.0210259892044,-0.0199694794215,-0.0207076833193,-0.0198919700698,-0.018736357452,-0.0194588333506,-0.0205218333637,-0.0204987769562,-0.0198586133143,-0.0204871938814,-0.0204129368138,-0.0199942456722,-0.0220006541182,-0.0203985769248,-0.0206780592678,-0.0199102237706,-0.0203702877651,-0.0195804005751,-0.0194049625188,-0.0215837863301,-0.0195668085607,-0.0203885461,-0.0206088570633,-0.0205876967122,-0.0210604189437,-0.0185690048763,-0.0199001519361,-0.0194502417615,-0.019973429212,-0.0192274196014,-0.0203775370041,-0.0200264595868,-0.0196403723249,-0.0206722809402,-0.0210017172505,-0.0202936784129,-0.0197824221413,-0.0195956673236,-0.019547807496,-0.0202091126093,-0.0199027728511,-0.0188892735194,-0.0201807591887,-0.0194726760079,-0.0200964081196,-0.021141240793,-0.0202493800675,-0.0196417093538,-0.0203362181162,-0.0207762683934,-0.0203791629565,-0.0209278507918,-0.0199936155011,-0.0203906450521,-0.01984593851,-0.0201460225228,-0.0196661932915,-0.0207082568459,-0.0207998563678,-0.0207909729462,-0.0200958463063,-0.0200154799096,-0.0199711054661,-0.0188490954081,-0.019351647726,-0.021078441144,-0.0194995677316,-0.0210550770243,-0.0200063076142,-0.0205667122742,-0.0201772426108,-0.0206461758747,-0.0201387620298,-0.0203340944192,-0.0195962901542,-0.0207743455682,-0.0199217131969,-0.0200727281337,-0.0214730686863
dip10_,-0.0332358547445,-0.0355059234211,-0.0347513375153,-0.0341548297496,-0.0310214358806,-0.0333833393311,-0.0323645909434,-0.034358537205,-0.0320448645568,-0.0362077476047,-0.0331567124935,-0.0308044964219,-0.0334338076746,-0.0313519188705,-0.0319104714399,-0.0349949373965,-0.0329269360655,-0.0338231617971,-0.0297816227619,-0.0337333256016,-0.0368138734174,-0.0318706631746,-0.0316068875139,-0.0322004604264,-0.0348543496594,-0.0346049967685,-0.0315490978149,-0.0343954623133,-0.033754175891,-0.0331649458441,-0.0382864857401,-0.0325608525196,-0.0328249822983,-0.0353018611337,-0.034646903697,-0.0351374817477,-0.0366220703466,-0.0324715752304,-0.0333712920396,-0.0357368294814,-0.0314505990099,-0.0353709644626,-0.0324185911129,-0.0341359225322,-0.0327845392328,-0.0352246370076,-0.0376679044738,-0.0342760171667,-0.0346565528864,-0.0325122016935,-0.0368661460191,-0.0364489972845,-0.0325208643914,-0.0376210094226,-0.032650680307,-0.0312242345697,-0.0331345700044,-0.0359730874209,-0.0312268613015,-0.0337839006228,-0.0326435456441,-0.0352864357484,-0.0368313135647,-0.0320535335001,-0.0340276663465,-0.0313160534139,-0.0356387204762,-0.0310623658658,-0.0384938107995,-0.0349502089521,-0.0342918086819,-0.0367935544317,-0.0360871044588,-0.0349065852659,-0.0359888925439,-0.0332474595002,-0.0348559223863,-0.0354152507492,-0.0341452217177,-0.0357770301152,-0.0403489344196,-0.0316042579397,-0.0407682625233,-0.0327682722289,-0.0321454134867,-0.0310867654576,-0.0314467032729,-0.0318038743008,-0.0337824814087,-0.0368367679959,-0.0306129196721,-0.0347604153713,-0.0311296513642,-0.0344700972839,-0.0354912421261,-0.0352884418902,-0.0355716153834,-0.0382982740509,-0.0334427515481,-0.0314700184911,-0.0324292237366
dip11_,-0.0758845352813,-0.0880182205987,-0.0785281836014,-0.0767336638902,-0.0823397150954,-0.0762592298635,-0.0796379485055,-0.0752140561781,-0.0884681064846,-0.0730745689013,-0.0758093260753,-0.0793889676046,-0.0758774635528,-0.0864364048652,-0.0767568557466,-0.0770943085907,-0.0770470172498,-0.0815463527567,-0.0753984660206,-0.0773004026703,-0.0735192870099,-0.0798592418296,-0.0742730143155,-0.0757620080938,-0.0770974404571,-0.0724444293319,-0.0717665141564,-0.0747048830203,-0.0781765385338,-0.0768755766535,-0.0792596733955,-0.0829816421891,-0.0766077391924,-0.0727791632282,-0.0799630719277,-0.0900840735089,-0.0821036310667,-0.0788462101033,-0.0748971108933,-0.0714033003642,-0.0817731500955,-0.0751720899736,-0.081318419985,-0.0759160086242,-0.0755412377258,-0.0804580568127,-0.0793463502046,-0.081421721897,-0.0775888277945,-0.0791135637753,-0.0741088572765,-0.0879719321849,-0.0782049991565,-0.0775354045499,-0.0782447546821,-0.086523722167,-0.0765872396003,-0.0764748723671,-0.0709788232763,-0.0772986446578,-0.0771936731228,-0.0750382855147,-0.0853391838191,-0.074789110079,-0.080447960302,-0.0830156951628,-0.080017826474,-0.0784392623801,-0.0804532641872,-0.0787272791264,-0.0782044448147,-0.0741850379888,-0.0827397338655,-0.0829844143154,-0.0809792180803,-0.0768842305662,-0.0810021434235,-0.0844598748309,-0.072449877152,-0.0804811895198,-0.0818857937543,-0.0764872285603,-0.0809767612121,-0.0804529770403,-0.0856432696559,-0.0781555837356,-0.0731761212164,-0.0788684642051,-0.0750569304156,-0.0784390547898,-0.0852752615017,-0.0859453780501,-0.0802940844332,-0.0708012952761,-0.084361078382,-0.0766538704615,-0.0793615242195,-0.0734114223857,-0.0757111903037,-0.0737344454498,-0.0850767993856
dip30_,-0.0486261885766,-0.0361791447544,-0.0529309175245,-0.0517310507504,-0.0570990977338,-0.0253363160259,-0.0455686653002,-0.0486667240072,-0.0493319925456,-0.0430234983215,-0.0384952139789,-0.0549946618795,-0.0462827352812,-0.0559130020825,-0.0446582381111,-0.0605114422991,-0.0461399107422,-0.0429989515459,-0.0326125589045,-0.0547367462076,-0.042775407495,-0.0380598400189,-0.0555878040278,-0.0616090541518,-0.0643511052075,-0.0530517408465,-0.0229140586397,-0.0507859226836,-0.0497039449572,-0.0526090766824,-0.0483351815649,-0.0569876894819,-0.042097802753,-0.0414825175123,-0.0462260067902,-0.0445294273522,-0.0354061759438,-0.0426484942613,-0.0420441635356,-0.0728949492523,-0.0632455969819,-0.0599698812832,-0.064148309778,-0.0385011511767,-0.0394538081876,-0.0478572813692,-0.0551815636939,-0.0380674859112,-0.0494599268451,-0.0557375155025,-0.0547693104945,-0.0506756831728,-0.0540204272613,-0.0509749023141,-0.0542622777932,-0.0348425746236,-0.0634298616456,-0.0646194389685,-0.06330887253,-0.0546564457573,-0.0548061073207,-0.0454054085127,-0.0378828089615,-0.0550174837408,-0.0626568308348,-0.0328877937158,-0.0474128434016,-0.0576328306289,-0.0533874687605,-0.0560551862832,-0.0447713146773,-0.0465885465082,-0.0608465478572,-0.0438592150224,-0.0449847286981,-0.0489860820674,-0.0449042692708,-0.049585840765,-0.0520506787101,-0.0509204452916,-0.0628051631608,-0.0504943387457,-0.0482776470161,-0.0472519491608,-0.0403224057934,-0.0563778815128,-0.0594024378911,-0.037847879577,-0.0616404877042,-0.0561138398442,-0.0649513737857,-0.0554199728162,-0.0437720237681,-0.0403195059804,-0.0543196465654,-0.0519074885392,-0.0630600476895,-0.0464776546686,-0.0461458834298,-0.0610778299121,-0.0618195979492
dip31_,-0.0205370784749,-0.0212316805225,-0.0220581530362,-0.0223092903348,-0.0195118548173,-0.0236078475072,-0.023438889682,-0.0215487219676,-0.0195888739598,-0.024993077222,-0.0186380790802,-0.0199767176699,-0.0226394264554,-0.0210608729886,-0.0229328587362,-0.0216178328883,-0.0216644902505,-0.0201924084928,-0.0217400413907,-0.0217534843437,-0.0268946057075,-0.0287602242878,-0.0233063205059,-0.0245516187326,-0.0260205203714,-0.0272142922736,-0.0244258513848,-0.0222678965279,-0.025170286215,-0.0199732835198,-0.0200071423697,-0.0232071183109,-0.026782941536,-0.0224978394531,-0.0195985372554,-0.0241571732953,-0.0223227926963,-0.0246674698556,-0.0245341787676,-0.0194331851557,-0.0262663222739,-0.0196868138768,-0.0231458131839,-0.0211270115938,-0.0282225067563,-0.0169101381946,-0.0209371682143,-0.0198209118318,-0.0261332115711,-0.023457960672,-0.0225022531094,-0.021314016453,-0.0238635628261,-0.0220614001757,-0.0197359096164,-0.0207068711503,-0.0215352625526,-0.0220670464095,-0.0258457552841,-0.0230738266158,-0.023746615666,-0.025518531844,-0.0213990983011,-0.0173070520351,-0.0239722968136,-0.0228706907309,-0.0218819040408,-0.0256010345461,-0.0200422155696,-0.0239197885132,-0.0239210565784,-0.0182396296748,-0.0211628403164,-0.0240796149031,-0.0242302255814,-0.020990080077,-0.0221082471547,-0.0247554626418,-0.0224778348885,-0.0240196683412,-0.0178064056377,-0.0215413664939,-0.0247889486863,-0.0202504064213,-0.0228875522518,-0.024654927192,-0.0233002391703,-0.0261646673884,-0.0218257827488,-0.0240108368815,-0.0252801393381,-0.0226733806195,-0.0285777304707,-0.0198705008161,-0.0206915570644,-0.0217438069202,-0.0263414106307,-0.0199077259987,-0.0194243119133,-0.0212496107214,-0.0244919733788
dip33_,-0.1019046443,-0.102507141054,-0.112101489597,-0.101708827802,-0.106613525844,-0.107327992809,-0.10588245365,-0.104061703936,-0.110159344259,-0.112521878984,-0.113059350685,-0.107333243566,-0.111816487741,-0.151288639825,-0.112496098626,-0.103249426317,-0.114682253065,-0.108547125353,-0.113964968753,-0.108656416906,-0.113375422314,-0.100015025097,-0.102165197492,-0.114962540507,-0.10738269792,-0.10916992588,-0.116221803643,-0.10386254037,-0.107526972676,-0.11770546031,-0.106170044866,-0.115169163641,-0.114420926588,-0.110793618868,-0.10499701157,-0.111471068043,-0.0989281696662,-0.108859690487,-0.111165495309,-0.117817715414,-0.117543271803,-0.0996187398284,-0.122594788303,-0.104441296522,-0.111524892881,-0.104027374909,-0.106770459963,-0.111719791019,-0.10400415976,-0.111185047272,-0.110168572376,-0.103864674198,-0.107574928747,-0.107866703557,-0.102185747571,-0.101718059677,-0.109187714727,-0.114558233812,-0.0982455109995,-0.112290789996,-0.114733785438,-0.109958158623,-0.109601673695,-0.106455146546,-0.120507895398,-0.109609677569,-0.108922585431,-0.114477208292,-0.105721294753,-0.121680679251,-0.104359921975,-0.111077890451,-0.101891354784,-0.109624890402,-0.106213763234,-0.118743702727,-0.105328381823,-0.10748184585,-0.114021766219,-0.12161303442,-0.10952078024,-0.105950798443,-0.108240294634,-0.119175522475,-0.108055427401,-0.114654224933,-0.124401136117,-0.108010564444,-0.1016742412,-0.101512457705,-0.108477259524,-0.127956856478,-0.102747199327,-0.12195240576,-0.158876562831,-0.114028406219,-0.112742460131,-0.113245132105,-0.117153807565,-0.103665541001,-0.124179678438
dip41_,0.00142238626926,0.00254192503915,-0.00153364191042,0.000428691286043,-0.00122489633701,0.00175060252846,0.00476669355024,-0.000331918084597,0.00260164074035,-0.00226219105449,-0.00181224112745,0.00235973098643,0.00460565385193,-0.00055237299163,-0.0024556365603,0.000593029597304,0.000955817435158,0.00170681455082,-0.00052834272922,0.000573660471598,0.00292368446863,0.00191705877575,-0.00125136789492,0.00160279769944,0.00186765344539,0.000263282091422,0.00170809340113,0.00251101849069,0.00305089310762,-0.00172859246274,0.00107884600578,0.00404177958,0.000273734525338,-0.00090577835554,0.00220053638624,-0.000809322756511,0.000414360498224,0.00052768875672,0.00252907046691,0.00156378640853,-0.00310041362926,-0.00155002351676,-0.000234043066,0.00167554795357,0.00083030936949,-0.000539585123331,0.00287756067076,0.000778238037369,0.00143245163022,-5.38603089988e-05,0.000179698152575,0.00128949317438,0.0026584479518,0.000948489292336,0.000455155572363,0.000242792795097,0.00165682395209,0.00259500677436,-0.000774729142491,0.00356178737471,-0.000114544155152,-0.00205753049363,-0.000630709066539,0.00021791631807,0.00498652580971,0.00206854300466,-0.000935891569189,-0.00049349226695,-0.000545090122167,0.0031216610067,0.000155592461821,-0.000383968235984,0.00167397950657,0.000606173422718,0.00278467463915,0.00206844266404,0.00257140745678,0.000762423025141,-0.00158872194551,4.42463530049e-05,0.000433435991428,0.00260333154552,0.0012241583785,0.00115290664518,-0.000142162292622,-0.00081331767529,0.0029213309957,-0.0017044174593,-0.000407883784482,0.000387018037253,4.22009256595e-07,0.0042522991413,-0.00207739959182,-0.00034577489268,0.00107290428532,0.00122366334879,0.00449355798039,0.000811795308491,4.1109258074e-05,-0.000808907054798,0.00366629404106
